sub_district,Trees,Shrubland,Grassland,Cropland,Built-up,Barren / sparse vegetation,Open water,Herbaceous wetland
Chanakya Puri,10.72,0.25,0.55,0.35,7.5,0.49,0.01,
Civil Lines,10.04,0.35,0.21,16.63,23.3,4.79,3.86,0.0
Connaught Place,5.63,0.01,0.15,0.69,5.42,0.79,0.61,0.0
Darya Ganj,2.36,0.03,0.16,0.84,3.88,0.54,0.4,
Defence Colony,12.0,0.28,0.66,4.84,25.47,3.82,4.23,0.12
Delhi Cantonment.,21.44,2.44,0.95,4.02,20.78,1.68,0.02,
Gandhi Nagar,1.27,0.02,0.03,1.89,6.89,0.79,0.6,0.0
Hauz Khas,32.99,33.65,1.25,23.79,36.95,9.71,0.1,
Kalkaji,9.27,4.24,0.87,2.71,26.94,4.78,0.08,0.0
Karol Bagh,1.63,0.05,0.01,0.14,1.11,0.06,0.01,
Kotwali,0.72,0.02,0.05,0.56,2.41,0.3,0.3,
Model Town,4.3,0.35,0.19,1.76,15.18,3.18,0.2,0.02
Najafgarh,12.73,1.85,1.32,159.15,65.22,13.39,1.87,0.26
Najafgarh,0.71,0.05,0.02,1.51,0.46,0.21,,
Narela,9.33,1.46,0.7,135.98,61.56,20.27,1.22,0.02
Pahar Ganj,0.58,0.0,0.0,0.02,3.46,0.13,,
Parliament Street,2.53,0.01,0.08,0.1,4.13,0.19,0.01,
Patel Nagar,1.79,0.23,0.34,0.23,9.45,0.65,0.12,
Patel Nagar,4.24,0.06,0.11,0.61,24.99,1.18,0.82,
Preet Vihar,4.56,0.07,0.23,3.33,25.61,2.94,0.58,
Punjabi Bagh,5.32,0.54,0.23,17.5,34.43,5.04,0.47,0.0
Rajouri Garden,2.61,0.04,0.08,0.19,14.16,0.35,0.12,
Sadar Bazar,0.89,0.01,0.03,0.92,3.55,0.4,0.44,
Saraswati Vihar,16.21,1.03,1.09,77.05,74.76,9.69,1.02,0.0
Seelam Pur,1.76,0.07,0.05,7.11,19.96,4.83,0.8,0.0
Seema Puri,1.16,0.01,0.04,0.5,10.52,1.56,,
Shahdara,0.39,0.0,0.01,0.07,6.74,0.58,0.06,
Vasant Vihar,34.71,5.05,3.85,18.1,54.25,10.99,0.42,0.0
Vivek Vihar,1.16,0.01,0.06,0.33,8.25,0.39,,
